callsign,origin,destination,aircraft_type,time,cargo
AAL2695,KORD,KCLT,B738,00:10,false
AAL734,KCLT,EGLL,B77W,00:34,false
AAL2409,KDFW,KCLT,A321,00:40,false
ATN3372,KILN,KCLT,B763,00:55,false
DAL2929,KMSP,KCLT,BCS1,01:08,false
AAL1212,KMIA,KCLT,B738,01:19,false
AAL3087,KCLT,KIND,A321,01:47,false
AAL3113,KCLT,KGRR,B738,01:48,false
AAL2976,KORD,KCLT,A321,02:06,false
UAL8131,KORD,KCLT,B738,02:12,false
LN279AH,KBNA,KCLT,PC24,02:29,false
ATN3375,KCLT,KCVG,B763,04:23,false
UPS1284,KPHL,KCLT,B752,05:02,true
AAL2237,KONT,KCLT,A321,05:19,false
AAL1165,KCLT,KMIA,B38M,05:27,false
JIA5257,KAVL,KCLT,CRJ7,05:31,false
AAL1454,KLAS,KCLT,A321,05:37,false
AAL1903,KRDU,KCLT,B38M,05:40,false
JIA5017,KGSO,KCLT,CRJ9,05:41,false
PDT5855,KCAE,KCLT,E145,05:41,false
AAL3298,KCHS,KCLT,A320,05:44,false
DAL3186,KCLT,KATL,B712,05:44,false
JIA5182,KTYS,KCLT,CRJ9,05:45,false
PDT5892,KAGS,KCLT,E145,05:47,false
PDT5842,KLYH,KCLT,E145,05:49,false
PDT5984,KTRI,KCLT,E145,05:49,false
PDT6007,KCHO,KCLT,E145,05:51,false
AAL1330,KPHX,KCLT,A21N,05:52,false
AAL1817,CYVR,KCLT,A21N,05:55,false
PDT5921,KROA,KCLT,E145,05:55,false
JIA5140,KLEX,KCLT,CRJ9,05:57,false
AAL2727,KCLT,KPHL,A321,05:58,false
AAL3180,KCLT,KDFW,A321,05:58,false
AAL549,KRIC,KCLT,B738,05:58,false
JIA5507,KATL,KCLT,CRJ9,06:01,false
PDT5866,KCHA,KCLT,E145,06:01,false
DAL1405,KCLT,KDTW,B712,06:02,false
PDT6006,KPGV,KCLT,E145,06:02,false
FDX1729,KIND,KCLT,B763,06:03,true
FFT3165,KCLT,KDFW,A20N,06:03,false
PDT6104,KEWN,KCLT,E145,06:03,false
AAL3168,KORF,KCLT,B38M,06:05,false
AAL2514,KSFO,KCLT,A321,06:07,false
ASH6279,KCLT,KIAD,E75L,06:07,false
JIA5027,KSAV,KCLT,CRJ9,06:07,false
PDT5821,KFAY,KCLT,E145,06:07,false
AAL365,KDCA,KCLT,A319,06:09,false
AAL2493,KILM,KCLT,A319,06:10,false
AAL1708,KBWI,KCLT,B738,06:13,false
RPA5648,KCLT,KBOS,E75L,06:14,false
PDT5985,KPHF,KCLT,E145,06:16,false
AAL349,KPIT,KCLT,B738,06:18,false
AA158,KROC,KCLT,A320,06:19,false
AAL1113,KEWR,KCLT,B38M,06:27,false
FDX1492,KMEM,KCLT,B763,06:29,true
XSR335,KCLT,KHPN,E55P,06:34,false
AAL2751,KLAS,KCLT,A321,06:40,false
DAL2491,KCLT,KMSP,BCS1,06:41,false
N317GS,KCLT,KNRB,LJ45,06:59,false
PDT5872,KERI,KCLT,E145,07:00,false
AAL2349,KCLT,KBHM,A319,07:03,false
SWA8500,KBWI,KCLT,B38M,07:03,false
DAL2275,KCLT,KATL,B712,07:05,false
AAL2632,KCLE,KCLT,B738,07:07,false
AAL770,KCLT,KMIA,A21N,07:10,false
AAL1548,KCLT,KBOS,B738,07:11,false
AAL1989,KCLT,KJAX,B738,07:11,false
AAL2427,KCLT,KRSW,B38M,07:12,false
PDT5917,KTLH,KCLT,E145,07:12,false
AAL2362,KCLT,KRDU,A321,07:13,false
JIA5214,KDAB,KCLT,CRJ9,07:15,false
N464T,KCLT,KIAD,C68A,07:15,false
RPA5599,KCLT,KLGA,E170,07:15,false
AAL2415,KCLT,KRIC,A320,07:17,false
JIA5176,KATL,KCLT,CRJ9,07:17,false
AAL1865,KCLT,KFLL,A321,07:20,false
AAL3139,KPHL,KCLT,A321,07:20,false
UAL575,KCLT,KIAH,B739,07:20,false
EDV5079,KCLT,KJFK,CRJ9,07:21,false
AAL2420,KRDU,KCLT,B738,07:22,false
AAL2569,KCLT,KILM,B738,07:23,false
PDT6048,KCLT,KCAE,E145,07:23,false
AAL1216,KIAD,KCLT,A320,07:24,false
SWA4695,KCLT,KBWI,B737,07:25,false
PDT5856,KFAY,KCLT,E145,07:26,false
PDT6054,KCLT,KCHO,E145,07:26,false
AAL2043,KCLT,KLGA,B738,07:27,false
AAL2487,KCLT,KSAT,A321,07:27,false
AAL2492,KCLT,KCVG,A319,07:27,false
AAL1065,KBNA,KCLT,A321,07:28,false
AAL2278,KCLT,KDJT,B38M,07:28,false
JIA5144,KCLT,KCMH,CRJ9,07:28,false
PDT6033,KCLT,KAVL,E145,07:28,false
AAL2084,KCLT,KMCO,A321,07:29,false
AAL2670,KBWI,KCLT,A321,07:29,false
JIA5193,KPIA,KCLT,CRJ9,07:29,false
PDT5852,KCLT,KOAJ,E145,07:30,false
AAL2431,KCLT,TJCP,A319,07:31,false
AAL2310,KCLT,KPIT,A321,07:32,false
PDT5992,KTRI,KCLT,E145,07:32,false
AAL1791,KCLT,KDTW,A319,07:33,false
AAL2615,KCLT,KIND,A321,07:33,false
N20997,KCLT,KCQW,C172,07:33,false
PDT5975,KAVL,KCLT,E145,07:33,false
PDT6010,KSBY,KCLT,E145,07:33,false
PDT6072,KCLT,KFAY,E145,07:33,false
AAL978,KMEM,KCLT,A319,07:34,false
EJA942,KCLT,KRNO,C68A,07:34,false
JIA5219,KCLT,KIAD,CRJ7,07:34,false
JIA5540,KAVP,KCLT,CRJ9,07:35,false
AAL1449,KCLT,KBDL,B738,07:36,false
AAL2938,KIND,KCLT,B738,07:36,false
PDT5798,KCLT,KGSP,E145,07:37,false
PDT6016,KCLT,KAGS,E145,07:37,false
AAL881,KCLT,MMUN,A321,07:38,false
PDT5828,KCLT,KLYH,E145,07:38,false
PDT6009,KOAJ,KCLT,E145,07:38,false
AAL858,KSTL,KCLT,A319,07:39,false
AAL3084,KLGA,KCLT,B738,07:40,false
PDT5947,KCLT,KTYS,E145,07:40,false
PDT5967,KMGM,KCLT,E145,07:40,false
AAL1580,KSFO,KCLT,A21N,07:41,false
AAL1707,KCLT,KDFW,A321,07:41,false
JIA5081,KCLT,KBNA,CRJ9,07:42,false
AAL3206,KCMH,KCLT,B738,07:43,false
AAL626P,KCLT,KCVG,B738,07:43,false
ENY3965,KGSO,KCLT,E75L,07:44,false
PDT5954,KTYS,KCLT,E145,07:44,false
PDT5793,KCLT,KGSO,E145,07:45,false
AAL1746,CYYZ,KCLT,A319,07:46,false
JIA5386,KMLB,KCLT,CRJ9,07:46,false
AAL1834,KJAX,KCLT,A321,07:47,false
PDT6080,KCLT,KGNV,E145,07:47,false
AAL2505,KEWR,KCLT,B738,07:49,false
AAL2843,KCLT,KORD,A321,07:50,false
AAL440,KALB,KCLT,B738,07:50,false
JIA5238,KJAN,KCLT,CRJ9,07:51,false
JIA5495,KCAK,KCLT,CRJ9,07:51,false
AAL1581,KDCA,KCLT,A320,07:52,false
AAL3320,KCLT,KTPA,A321,07:52,false
JIA5262,KCLT,KLEX,CRJ9,07:52,false
AAL2733,KCLT,KSTL,B738,07:53,false
JIA5038,KBHM,KCLT,CRJ7,07:53,false
VTE3937,KAOO,KCLT,E135,07:53,false
AAL1754,KCLT,KDEN,A321,07:54,false
AAL1204,KBUF,KCLT,B738,07:55,false
AAL1097,KRSW,KCLT,B738,07:57,false
JIA5035,KMHT,KCLT,CRJ9,07:57,false
AAL2760,KILM,KCLT,A321,07:58,false
JIA5600,KABE,KCLT,CRJ7,07:58,false
JIA9953,KCLT,KDAY,CRJ7,07:58,false
PDT6050,KCLT,KCHA,E145,07:58,false
AAL387,KDTW,KCLT,A320,07:59,false
AAL1930,KCLT,KIAH,B738,08:00,false
AAL3230,KGRR,KCLT,B738,08:00,false
JIA5049,KSAV,KCLT,CRJ9,08:00,false
N902FH,KCLT,KBNA,C56X,08:00,false
LN279AH,KCLT,KPIE,PC24,08:02,false
AAL1782,KCLT,KEWR,B38M,08:03,false
PDT5803,KCHO,KCLT,E145,08:03,false
ENY3940,KHSV,KCLT,E75L,08:04,false
AAL3235,KCHS,KCLT,B738,08:05,false
PDT5833,KMDT,KCLT,E145,08:06,false
AAL1381,KCLT,KPHX,A21N,08:07,false
AAL2187,KMIA,KCLT,A21N,08:07,false
AAL418,KBOS,KCLT,B738,08:08,false
AAL1635,KCLT,KBWI,A319,08:09,false
AAL2643,KJFK,KCLT,B38M,08:10,false
PDT6098,KEWN,KCLT,E145,08:10,false
SWA3048,KCLT,KMDW,B38M,08:11,false
AAL384,KPIT,KCLT,B38M,08:13,false
DAL3156,KCLT,KATL,B712,08:14,false
PDT8815,KGNV,KCLT,E145,08:14,false
N88LC,KCLT,KFDY,GA5C,08:15,false
AAL2848,KDJT,KCLT,A321,08:16,false
JIA5654,KGSP,KCLT,CRJ9,08:17,false
N712GK,KCLT,KAHN,C56X,08:17,false
SWA8500,KCLT,KGSO,B38M,08:17,false
JIA5036,KORF,KCLT,CRJ9,08:18,false
FFT2387,KPHL,KCLT,A321,08:20,false
UAL1304,KCLT,KORD,B738,08:22,false
PDT6087,KFWA,KCLT,E145,08:23,false
AAL1063,KRIC,KCLT,A321,08:24,false
PDT5933,KROA,KCLT,E145,08:24,false
PDT5981,KAGS,KCLT,E145,08:26,false
SWA1167,KCLT,KBNA,B38M,08:26,false
AAL2842,KORD,KCLT,A321,08:27,false
ATN3338,KCLT,KSBD,B763,08:27,false
AAL3279,KLGA,KCLT,B738,08:28,false
UPS5273,KCLT,KRFD,B752,08:28,true
JIA5255,KSDF,KCLT,CRJ9,08:30,false
LN274AH,KCLT,KGMU,PC24,08:30,false
N142JS,KCLT,KSAV,GA5C,08:30,false
JIA5399,KSBN,KCLT,CRJ9,08:31,false
EDV5068,KLGA,KCLT,CRJ9,08:32,false
AAL1585,KPVD,KCLT,B738,08:35,false
AAL3046,KCLT,KPHL,A320,08:35,false
N9224G,KSOP,KCLT,C182,08:36,false
AAL3182,KBDL,KCLT,A321,08:37,false
AAL575,KDFW,KCLT,A321,08:37,false
AAL1977,KCLT,KDCA,A319,08:39,false
AAL461,KMCO,KCLT,A321,08:40,false
DAL3144,KATL,KCLT,B712,08:42,false
AAL2538,KTPA,KCLT,A321,08:43,false
DAL2481,KDTW,KCLT,B712,08:44,false
RPA5626,KBOS,KCLT,E75L,08:44,false
UAL1963,KCLT,KDEN,A319,08:44,false
AAL2264,KSRQ,KCLT,A320,08:46,false
N38CG,KELM,KCLT,CRJ2,08:52,false
N3712H,KCLT,KSOP,M20P,08:57,false
