callsign,origin,destination,aircraft_type,time,cargo
JBU1083,KJFK,KMCO,BCS3,00:07,false
DAL718,KLAX,KMCO,A21N,00:07,false
FFT2309,KBWI,KMCO,A20N,00:09,false
DAL1162,KATL,KMCO,A321,00:15,false
FFT2280,KCLE,KMCO,A21N,00:21,false
SWA3728,TJSJ,KMCO,B38M,00:35,false
JBU1134,TJSJ,KMCO,A320,00:43,false
AAL1336,KDFW,KMCO,A321,00:44,false
AAL1879,KCLT,KMCO,A321,00:50,false
FFT3261,KBUF,KMCO,A321,00:51,false
UAL689,KIAD,KMCO,B39M,01:01,false
AAL1896,KMCO,KCLT,B738,05:00,false
AAL563,KPHX,KMCO,A321,05:00,false
JBU605,KMCO,MDSD,BCS3,05:01,false
JBU430,KMCO,TJBQ,A320,05:01,false
FFT3506,KMCO,TJSJ,A321,05:01,false
ASA707,KSAN,KMCO,B738,05:18,false
JBU234,TJSJ,KMCO,A320,05:19,false
FFT1915,KMCO,KCLE,A20N,05:20,false
JBU2265,KMCO,MDST,BCS3,05:20,false
FFT1876,KLAS,KMCO,A21N,05:30,false
DAL1548,KMCO,KATL,A321,05:30,false
AAL2677,KMCO,KDFW,A21N,05:30,false
FFT2520,KDEN,KMCO,A20N,05:31,false
FFT1733,KMCO,KDEN,A20N,05:35,false
FFT4017,KMCO,KDFW,A20N,05:40,false
JBU767,KMCO,TJPS,A320,05:45,false
SWA4874,KSAN,KMCO,B38M,05:55,false
AAL1118,KLAX,KMCO,A21N,05:56,false
SWA2409,KLAX,KMCO,B38M,06:00,false
FFT1978,KMCO,KBOS,A20N,06:00,false
DAL2702,KMCO,KJFK,A321,06:00,false
JBU2584,KMCO,KJFK,A320,06:00,false
FFT2833,KMCO,KMKE,A320,06:00,false
FFT3553,KMCO,KMSY,A20N,06:00,false
DAL2069,KSLC,KMCO,A21N,06:00,false
AAL2894,KMCO,KMIA,A319,06:01,false
FFT2742,KMCO,KTTN,A20N,06:01,false
FFT1953,TJBQ,KMCO,A321,06:01,false
DAL1201,KMCO,KDTW,A321,06:05,false
SWA2365,KMCO,KLAS,B38M,06:05,false
FFT4686,KMCO,TJPS,A20N,06:05,false
SWA4310,KMCO,KSAT,B38M,06:10,false
FFT1823,TJSJ,KMCO,A20N,06:10,false
DAL547,KLAX,KMCO,A21N,06:13,false
FFT2506,KMCO,KPHL,A21N,06:14,false
DAL1494,KMCO,KATL,A321,06:15,false
JBU1452,KMCO,KBOS,A320,06:15,false
AAL461,KMCO,KCLT,A321,06:15,false
SWA1400,KMCO,KDAL,B38M,06:15,false
SWA3799,KSMF,KMCO,B38M,06:15,false
ASA394,KSEA,KMCO,B38M,06:16,false
SWA4508,KPHX,KMCO,B38M,06:20,false
SWA4590,KLAS,KMCO,B737,06:25,false
SWA1427,KMCO,KAUS,B738,06:25,false
JBU1086,KMCO,KBUF,BCS3,06:25,false
DAL484,KMCO,KLAX,A21N,06:28,false
FFT3274,KMCO,KBWI,A321,06:30,false
AAL2975,KMCO,KDFW,A321,06:30,false
UAL1105,KMCO,KEWR,B39M,06:30,false
AAL1250,KMCO,KORD,A321,06:30,false
SWA4309,KMCO,KPIT,B38M,06:30,false
SWA2691,KMCO,TJSJ,B738,06:35,false
FFT1242,KATL,KMCO,A21N,06:40,false
SWA2680,KMCO,KPHX,B737,06:40,false
SWA1698,KMIA,KMCO,B737,06:40,false
SWA4824,KFLL,KMCO,B737,06:45,false
SWA2654,KMCO,KMDW,B38M,06:45,false
SWA2642,KMCO,KIND,B38M,06:50,false
SWA2828,KMCO,KSTL,B738,06:55,false
MXY844,KMCO,KSWF,BCS3,06:55,false
AAL2745,KMCO,KDCA,B738,06:57,false
ROU1639,KMCO,CYUL,A321,07:00,false
ROU1671,KMCO,CYYZ,A320,07:00,false
DAL2436,KMCO,KBOS,A21N,07:00,false
FFT1417,KMCO,KIAH,A21N,07:00,false
UAL468,KMCO,KIAH,B739,07:00,false
JBU1184,KMCO,KJFK,A320,07:00,false
UAL2113,KMCO,KLAX,B39M,07:00,false
DAL1573,KMCO,KLGA,A321,07:00,false
