callsign,origin,destination,aircraft_type,time,cargo
AAL1251,KMSP,KDFW,A321,05:00,false
SWA2520,KMSP,KMDW,B38M,05:00,false
DAL1062,KMSP,KATL,B753,05:20,false
SWA3658,KMSP,KBWI,B738,05:25,false
UAL2041,KMSP,KDEN,B738,05:45,false
JIA5488,KMSP,KPHL,CRJ9,05:45,false
SWA1525,KMSP,KDEN,B38M,05:50,false
SCX1655,KMSP,KCMH,B738,06:00,false
UAL1246,KMSP,KEWR,B739,06:00,false
DAL1730,KMSP,KMCO,B739,06:00,false
AAL1870,KMSP,KMIA,A321,06:00,false
UAL307,KMSP,KORD,B739,06:00,false
SCX391,KMSP,KSFO,B738,06:00,false
AAL2150,KMSP,KDFW,B738,06:02,false
ASA387,KMSP,KSEA,B39M,06:03,false
DAL1461,KMSP,KDTW,A321,06:04,false
RPA4444,KMSP,KORD,E75L,06:04,false
SCX421,KMSP,KLAX,B738,06:05,false
SCX281,KMSP,KSEA,B738,06:10,false
AAL894,KMSP,KCLT,A319,06:19,false
SCX341,KMSP,KMCO,B738,06:25,false
SCX1981,KMSP,KBDL,B738,06:30,false
JIA5312,KMSP,KDCA,CRJ7,06:30,false
SCX265,KMSP,KPVD,B738,06:35,false
SCX213,KMSP,KTPA,B738,06:40,false
DAL2724,KMSP,KBNA,A321,06:55,false
SCX251,KMSP,KBOS,B738,06:55,false
DAL1827,KMSP,KCLT,BCS1,06:55,false
DAL2969,KMSP,KJFK,BCS1,06:55,false
EDV4867,KMSP,KMCI,CRJ7,06:55,false
EDV4712,KMSP,KMDW,CRJ7,06:55,false
DAL1766,KMSP,KPWM,B739,06:55,false
DAL1418,KMSP,KSEA,B739,06:55,false
DAL1039,KMSP,KATL,B739,07:00,false
SKW3950,KMSP,KAUS,E75L,07:00,false
DAL2649,KMSP,KBOS,A21N,07:00,false
DAL1675,KMSP,KDEN,A21N,07:00,false
SKW4103,KMSP,KMSN,CRJ9,07:00,false
DAL1544,KMSP,KORD,BCS3,07:00,false
DAL2783,KMSP,KRDU,A21N,07:00,false
SCX1835,KMSP,KSAT,B738,07:00,false
UAL1808,KMSP,KSFO,A319,07:00,false
SWA1528,KMSP,KBNA,B737,07:05,false
SCX233,KMSP,KEWR,B738,07:05,false
DAL2656,KMSP,KIAH,BCS1,07:05,false
DAL2261,KMSP,KLAS,B739,07:05,false
DAL2719,KMSP,KLGA,A321,07:05,false
EDV5286,KMSP,KSTL,CRJ9,07:05,false
DAL2007,KMSP,KBDL,A319,07:06,false
DAL2110,KMSP,KLAX,A21N,07:06,false
DAL2847,KMSP,KCLE,BCS1,07:08,false
DAL2357,KMSP,KBWI,BCS1,07:10,false
DAL2772,KMSP,KCMH,BCS1,07:10,false
DAL2864,KMSP,KEWR,A320,07:10,false
DAL2688,KMSP,KPHL,BCS1,07:10,false
SCX1419,KMSP,KRIC,B738,07:10,false
DAL954,KMSP,KCVG,A320,07:14,false
SCX567,KMSP,KJFK,B738,07:15,false
DAL2301,KMSP,KTPA,A321,07:15,false
SKW3699,KMSP,KIAD,E75L,07:17,false
SCX383,KMSP,KRSW,B738,07:20,false
SCX489,KMSP,KGPI,B738,07:25,false
DAL1047,KMSP,KPHX,B739,07:26,false
DAL845,KMSP,KPIT,BCS1,07:29,false
SCX1907,KMSP,KDTW,B738,07:30,false
UAL567,KMSP,KORD,B739,07:34,false
SCX651,KMSP,KDEN,B738,07:35,false
UAL2460,KMSP,KIAH,A319,07:35,false
DAL2958,KMSP,KDCA,BCS3,07:36,false
ASA1541,KMSP,PANC,B39M,07:40,false
SCX1775,KMSP,KPHL,B738,07:40,false
SKW4466,KMSP,KMKE,CRJ9,07:41,false
AAL3143,KMSP,KPHX,B38M,07:41,false
SWA2973,KMSP,KSTL,B737,07:45,false
DAL2972,KMSP,KDFW,BCS1,07:54,false
SCX1821,KMSP,KPWM,B738,07:55,false
SCX193,KMSP,KBWI,B738,08:00,false
JZA716,KMSP,CYYZ,CRJ9,08:00,false
AAL1395,KMSP,KDFW,B738,08:01,false
EDV4901,KMSP,KBTV,CRJ9,08:04,false
SCX1057,KMSP,KBUF,B738,08:05,false
SCX325,KMSP,KJAX,B738,08:10,false
DAL2628,KMSP,KSLC,B739,08:10,false
SCX103,KMSP,KLAS,B739,08:20,false
SKW3990,KMSP,KGRR,CRJ9,08:25,false
SCX667,KMSP,KIAD,B738,08:25,false
SKW3868,KMSP,CYYZ,CRJ9,08:25,false
DAL1052,KMSP,KATL,A321,08:26,false
DAL555,KMSP,PANC,B752,08:50,false
DAL2304,KMSP,KBOI,A320,08:50,false
DAL673,KMSP,KFLL,B753,08:50,false
DAL2456,KMSP,KIND,BCS1,08:50,false
EDV5142,KMSP,KOKC,CRJ7,08:50,false
SKW3831,KMSP,KOMA,CRJ9,08:50,false
DAL2121,KMSP,KSAN,A321,08:51,false
DAL1226,KMSP,KBZN,B739,08:55,false
DAL1881,KMSP,MMUN,A321,08:55,false
DAL2849,KMSP,KDEN,A321,08:55,false
EDV4998,KMSP,KDSM,CRJ9,08:55,false
SKW4329,KMSP,KGFK,CRJ7,08:55,false
DAL2129,KMSP,KMIA,B739,08:55,false
DAL3188,KMSP,KSTL,BCS1,08:55,false
DAL2181,KMSP,KAVL,BCS1,09:00,false
SKW4066,KMSP,KBIS,CRJ9,09:00,false
DAL1433,KMSP,KDTW,B752,09:00,false
SKW4239,KMSP,KESC,CRJ7,09:00,false
