callsign,origin,destination,aircraft_type,time,cargo
AAL3014,KCLT,KORD,A321,00:01,false
AAL1433,KLAX,KORD,A321,00:07,false
AMX682,MMMX,KORD,B39M,00:08,false
CAO1017,PANC,KORD,B77L,00:08,true
AAL2323,KMIA,KORD,A321,00:26,false
AAL2840,KPHL,KORD,A321,00:29,false
EVA055,KORD,RCTP,B77W,00:30,false
UAL2649,KDEN,KORD,A21N,00:44,false
FFT3346,KORD,TJSJ,A321,00:44,false
UAL1752,KIAH,KORD,B739,00:45,false
FFT3136,KIAH,KORD,A21N,00:49,false
AAL1193,KDFW,KORD,B738,00:50,false
UAL1672,KLAS,KORD,B739,00:50,false
AAL3137,KPHX,KORD,A321,00:51,false
VOI1702,MMGL,KORD,A21N,00:55,false
ASA1545,KORD,PANC,B739,00:59,false
UAL1375,KSFO,KORD,B753,00:59,false
AFR6733,KORD,EGPK,B77L,01:10,true
KAL232,KORD,RKSI,B77L,01:10,true
UAL1754,KLAX,KORD,B739,01:15,false
CKK228,KORD,ZSPD,B77L,01:15,true
VIV187,KORD,MMMX,A20N,01:30,false
VIV633,KORD,MMMY,A21N,01:30,false
GTI654,PANC,KORD,B744,01:35,true
VOI703,KORD,MMMX,A21N,01:40,false
AMX689,KORD,MMMX,B39M,01:55,false
GTI7143,KORD,RJAA,B744,02:50,true
NCA7143,KORD,RJAA,B744,02:50,true
VOI1703,KORD,MMGL,A21N,02:53,false
UPS602,KSDF,KORD,A306,03:36,true
CMP844,MPTO,KORD,B38M,04:00,false
FDX1447,KMEM,KORD,B763,04:02,true
CPA2094,PANC,KORD,B748,04:05,true
UPS610,KPHL,KORD,B752,04:14,true
UPS606,KSDF,KORD,B763,04:22,true
FDX1706,KIND,KORD,B763,04:27,true
FDX1157,KAFW,KORD,B763,04:30,true
GTI8278,KORD,KNGU,B744,04:30,true
GTI9278,KORD,KIAH,B744,04:35,true
UAL1457,KSAN,KORD,A21N,04:36,false
VOI5706,MMGL,KORD,A320,04:41,false
UAL2094,KPDX,KORD,B738,04:45,false
UAL353C,KLAX,KORD,A21N,04:51,false
VOI7820,MMMM,KORD,A20N,04:54,false
KAL233,PANC,KORD,B748,04:55,true
UAL2666,KORD,KDEN,A21N,05:00,false
AAL760,KORD,KDFW,A321,05:00,false
AAL2984,KORD,KMIA,A321,05:00,false
AAL2970,KORD,KPHL,B738,05:00,false
AAL2434,KORD,KPHX,A321,05:00,false
ASA376,KPDX,KORD,B39M,05:00,false
AAL1543,KSAN,KORD,A321,05:00,false
UAL2278,KSFO,KORD,B753,05:01,false
FDX1405,KMEM,KORD,B763,05:02,true
AAL2592,TJSJ,KORD,B738,05:04,false
UAL218,PHNL,KORD,B78X,05:05,false
AAL2842,KORD,KCLT,A321,05:07,false
CSG2549,PANC,KORD,B77L,05:08,true
AAL1009,KLAX,KORD,B38M,05:09,false
UPS9710,KORD,KPIA,B752,05:10,true
UAL2102,KLAS,KORD,B39M,05:11,false
AAL2977,KPDX,KORD,A321,05:14,false
MSR947,HECA,KORD,A359,05:15,false
UAL747,KSEA,KORD,B738,05:18,false
UAL450,PANC,KORD,B38M,05:18,false
AAL2554,KSFO,KORD,A321,05:20,false
DAL1264,KORD,KATL,B738,05:30,false
UAL2310,KORD,KIAH,B739,05:30,false
SKW5615,KGRR,KORD,CRJ7,05:32,false
SKW6208,KFWA,KORD,CRJ7,05:35,false
AAL3060,KSMF,KORD,B738,05:36,false
AAL2040,KLAS,KORD,B38M,05:37,false
FFT2146,KLAS,KORD,A21N,05:37,false
UAL249,CYVR,KORD,B738,05:40,false
UAL726,KLAS,KORD,B738,05:40,false
UAL1640,PAFA,KORD,B39M,05:42,false
UAL1490,KPDX,KORD,B739,05:45,false
UAL1962,KLAX,KORD,B39M,05:46,false
ENY3765,KLAN,KORD,E170,05:48,false
SKW4904,KFNT,KORD,CRJ7,05:51,false
SKW6207,KAZO,KORD,CRJ7,05:52,false
VOI700,MMMX,KORD,A21N,05:52,false
RPA3483,KDTW,KORD,E75L,05:53,false
ENY4247,KROC,KORD,E170,05:54,false
UAL1148,KSMF,KORD,A319,05:54,false
GJS4415,KDAY,KORD,CRJ7,05:55,false
SKW5723,KSBN,KORD,CRJ7,05:56,false
UAL368,KSFO,KORD,A21N,05:57,false
RPA4339,KORD,KDCA,E75S,05:58,false
SKW5799,KMKE,KORD,CRJ2,05:59,false
SKW5595,KORD,KFWA,CRJ2,05:59,false
GJS4592,KORD,KGRR,CRJ7,05:59,false
SKW5581,KORD,KMKE,CRJ2,05:59,false
RPA4487,KCMH,KORD,E75S,06:00,false
RPA4362,KIND,KORD,E75L,06:00,false
AAL3022,KORD,KBOS,B738,06:00,false
UAL1077,KORD,KDCA,A21N,06:00,false
UAL2806,KORD,KDEN,A21N,06:00,false
UAL2295,KORD,KEWR,A21N,06:00,false
JBU1206,KORD,KJFK,BCS3,06:00,false
RPA5741,KORD,KJFK,E75S,06:00,false
AAL607,KORD,KLAX,A321,06:00,false
UAL2373,KORD,KLAX,B739,06:00,false
AAL327,KORD,KLGA,B738,06:00,false
DAL2767,KORD,KLGA,BCS3,06:00,false
UAL2617,KORD,KLGA,B738,06:00,false
UAL284,KORD,KMCO,A21N,06:00,false
ASA715,KORD,KSEA,B739,06:00,false
ENY3909,KTVC,KORD,E170,06:00,false
ENY3509,KBMI,KORD,E75L,06:02,false
AAL2881,KSEA,KORD,A21N,06:02,false
AAL2896,KORD,KDFW,B738,06:04,false
UAL1186,KORD,KBOS,B738,06:05,false
FFT44,KORD,MMUN,A21N,06:05,false
AAL2502,KGRR,KORD,A319,06:07,false
AAL1305,CYVR,KORD,B38M,06:08,false
RPA3524,KCMH,KORD,E75L,06:09,false
SKW4976,KLEX,KORD,CRJ7,06:10,false
AAL1380,KORD,KMIA,B38M,06:10,false
UAL246,KORD,KSFO,B753,06:10,false
ENY3763,KATW,KORD,E170,06:14,false
SKW6358,KMKE,KORD,CRJ7,06:14,false
ENY3702,KMSN,KORD,E170,06:15,false
UPS5609,KORD,KONT,B763,06:15,true
UPS9744,KBUF,KORD,A306,06:17,true
FFT2446,KLAX,KORD,A21N,06:17,false
SKW4707,KMSN,KORD,E75L,06:17,false
SKW5892,KGRR,KORD,E75L,06:18,false
SKW5889,KFWA,KORD,CRJ7,06:19,false
RPA3479,KIND,KORD,E75L,06:20,false
ASA1470,KORD,KSAN,B39M,06:20,false
CPA2095,KORD,PANC,B748,06:20,true
GTI8559,KORD,RKSI,B744,06:20,true
ASA328,KSEA,KORD,B739,06:20,false
GTI3596,PANC,KORD,B77L,06:20,true
VOI5707,KORD,MMGL,A320,06:21,false
VOI7821,KORD,MMMM,A20N,06:24,false
AAL1148,KPHX,KORD,A321,06:25,false
SKW5121,KEAU,KORD,CRJ2,06:27,false
SKW5076,KPAH,KORD,CRJ7,06:28,false
UAL1799,KORD,KIAH,A21N,06:29,false
AAL2020,KORD,KLAS,B738,06:29,false
AAL2543,KORD,KSFO,A321,06:29,false
SKW4826,KALO,KORD,CRJ7,06:30,false
AAL1315,KCLE,KORD,A319,06:30,false
UAL1269,KORD,KBWI,A320,06:30,false
AAL1784,KORD,KCLT,A321,06:30,false
SKW5216,KORD,KCLT,E75L,06:30,false
UAL1689,KORD,KIAD,B739,06:30,false
DAL1717,KORD,KMSP,BCS1,06:30,false
SKW5840,KTVC,KORD,CRJ7,06:30,false
ENY4094,KCVG,KORD,E170,06:32,false
UAL729,KLAX,KORD,A21N,06:32,false
GJS4532,KCVG,KORD,CRJ7,06:35,false
DAL1247,KORD,KATL,B739,06:35,false
RPA4519,KDSM,KORD,E75S,06:36,false
AAL2115,KORD,KPHL,A321,06:37,false
SKW6363,KORD,KCLE,CRJ7,06:38,false
AAL1652,KPHL,KORD,B38M,06:38,false
