callsign,origin,destination,aircraft_type,time,cargo
AAY2968,KSFB,KCAK,A319,06:00,false
AAY1192,KSFB,KSHV,A319,06:05,false
AAY2899,KSFB,KGSP,B38M,06:10,false
AAY1237,KSFB,KLEX,A319,06:15,false
AAY1269,KSFB,KSBN,B38M,06:20,false
AAY1346,KSFB,KTUL,B38M,06:25,false
AAY2943,KSFB,KMEM,A320,06:30,false
AAY2826,KSFB,KDSM,B38M,06:35,false
AAY2852,KSFB,KLIT,B38M,06:40,false
AAY1223,KSFB,KFWA,B38M,06:45,false
AAY2920,KSFB,KOMA,B38M,07:00,false
AAY2913,KSFB,KBGR,A320,07:05,false
AAY1283,KSFB,KHTS,A320,07:40,false
AAY1150,KPIT,KSFB,A320,08:09,false
AAY171,KABE,KSFB,A320,08:22,false
AAY264,KAVL,KSFB,A320,08:32,false
AAY2044,KCVG,KSFB,A320,08:34,false
AAY2772,KSFB,KPIT,A320,08:59,false
AAY184,KSFB,KABE,A320,09:12,false
AAY270,KSFB,KAVL,A320,09:22,false
AAY374,KSFB,KCVG,A320,09:24,false
AAY2879,KGSP,KSFB,B38M,09:51,false
AAY2818,KSFB,KACY,B38M,10:41,false
AAY1337,KLEX,KSFB,A319,10:57,false
AAY1347,KSHV,KSFB,A319,11:16,false
AAY1276,KMEM,KSFB,A320,11:19,false
AAY1319,KCAK,KSFB,A319,11:21,false
AAY1226,KLIT,KSFB,B38M,11:41,false
AAY2953,KSBN,KSFB,B38M,12:02,false
AAY2885,KSFB,KBLV,A319,12:06,false
AAY2848,KSFB,KEYW,A319,12:06,false
AAY2863,KSFB,KXNA,A320,12:06,false
AAY1198,KFWA,KSFB,B38M,12:09,false
AAY1238,KSFB,KJQF,B38M,12:26,false
AAY1206,KSFB,KSDF,A319,12:31,false
AAY2890,KTUL,KSFB,B38M,12:34,false
AAY2965,KSFB,KTRI,B38M,12:52,false
AAY2944,KSFB,KMDT,B38M,12:59,false
AAY1242,KDSM,KSFB,B38M,13:08,false
AAY2933,KOMA,KSFB,B38M,13:45,false
AAY1323,KSFB,KCKB,B38M,14:04,false
AAY3722,KSFB,KLSE,B38M,14:09,false
AAY1214,KBGR,KSFB,A320,14:19,false
AAY3021,KTYS,KSFB,A320,14:34,false
AAY1250,KSFB,KDAY,A320,15:24,false
AAY1334,KSFB,KFSD,B38M,15:30,false
DWI5220,MDPC,KSFB,B38M,15:35,false
AAY365,KCVG,KSFB,A320,15:37,false
AAY1279,KSFB,KPSM,A319,16:04,false
AAY1311,KACY,KSFB,B38M,16:17,false
AAY2866,KJQF,KSFB,B38M,16:24,false
AAY2927,KSFB,KTYS,A320,16:27,false
AAY2856,KTRI,KSFB,B38M,16:56,false
DWI5221,KSFB,MDPC,B38M,17:05,false
AAY2915,KSFB,KALB,B38M,17:07,false
AAY1196,KSFB,KAUS,B38M,17:14,false
AAY1263,KHTS,KSFB,A320,17:19,false
AAY344,KGRR,KSFB,A319,17:21,false
AAY2837,KBLV,KSFB,A319,17:25,false
AAY2903,KSFB,KBMI,B38M,17:46,false
AAY327,KSFB,KGRR,A319,18:11,false
AAY2241,KSFB,KIND,A320,18:14,false
AAY2824,KSFB,KEVV,A319,18:23,false
AAY1864,KAVL,KSFB,A320,20:08,false
AAY161,KABE,KSFB,A320,20:22,false
AAY2898,KTYS,KSFB,A320,20:29,false
AAY2914,KDAY,KSFB,A320,20:36,false
AAY1883,KSFB,KAVL,A320,20:58,false
AAY172,KSFB,KABE,A320,21:12,false
AAY384,KSFB,KCVG,A320,21:19,false
AAY3723,KLSE,KSFB,B38M,21:20,false
AAY3034,KSFB,KTYS,A320,21:26,false
AAY1345,KEYW,KSFB,A319,22:36,false
AAY2845,KFSD,KSFB,B38M,22:44,false
AAY1203,KPSM,KSFB,A319,22:51,false
AAY1280,KXNA,KSFB,A320,22:51,false
AAY2937,KMDT,KSFB,B38M,23:14,false
AAY1266,KEVV,KSFB,A319,23:15,false
AAY1327,KCKB,KSFB,B38M,23:19,false
AAY1335,KSDF,KSFB,A319,23:21,false
AAY1195,KBMI,KSFB,B38M,23:22,false
AAY2817,KAUS,KSFB,B38M,23:25,false
AAY1210,KALB,KSFB,B38M,23:35,false
AAY633,KIND,KSFB,A320,23:38,false
